,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.837981923,0.816808961,0.79592358,0.775325781,0.755015564,0.734992928,0.715257873,0.6958104,0.676650509,0.657778199,0.63919347,0.620896323,0.602886758,0.585164774,0.567730371,0.55058355,0.533724311,0.517152653,0.500868576,0.484872081,0.469163167,0.453741835,0.438608085,0.423761916,0.409203328,0.394932322,0.380948897,0.367253054,0.353844793,0.340724112,0.327891014
1,0.801452952,0.78125999,0.761354609,0.74173681,0.722406593,0.703363957,0.684608902,0.666141429,0.647961538,0.630069228,0.612464499,0.595147352,0.578117787,0.561375803,0.5449214,0.528754579,0.51287534,0.497283682,0.481979605,0.46696311,0.452234196,0.437792864,0.423639114,0.409772945,0.396194357,0.382903351,0.369899926,0.357184083,0.344755822,0.332615141,0.320762043
2,0.765987073,0.746774111,0.72784873,0.709210931,0.690860714,0.672798078,0.655023023,0.63753555,0.620335659,0.603423349,0.58679862,0.570461473,0.554411907,0.538649923,0.523175521,0.5079887,0.49308946,0.478477802,0.464153726,0.450117231,0.436368317,0.422906985,0.409733234,0.396847065,0.384248478,0.371937472,0.359914047,0.348178204,0.336729942,0.325569262,0.314696163
3,0.731584285,0.713351323,0.695405942,0.677748143,0.660377926,0.64329529,0.626500235,0.609992762,0.593772871,0.577840561,0.562195832,0.546838685,0.53176912,0.516987136,0.502492733,0.488285912,0.474366673,0.460735015,0.447390938,0.434334443,0.421565529,0.409084197,0.396890447,0.384984278,0.37336569,0.362034684,0.350991259,0.340235416,0.329767155,0.319586474,0.309693376
4,0.698244589,0.680991627,0.664026246,0.647348447,0.63095823,0.614855594,0.599040539,0.583513066,0.568273175,0.553320865,0.538656136,0.524278989,0.510189424,0.49638744,0.482873037,0.469646216,0.456706977,0.444055319,0.431691242,0.419614747,0.407825833,0.396324501,0.385110751,0.374184582,0.363545994,0.353194988,0.343131563,0.33335572,0.323867459,0.314666778,0.30575368
5,0.665967985,0.649695023,0.633709642,0.618011843,0.602601626,0.58747899,0.572643935,0.558096462,0.543836571,0.529864261,0.516179532,0.502782385,0.48967282,0.476850836,0.464316433,0.452069612,0.440110372,0.428438714,0.417054638,0.405958143,0.395149229,0.384627897,0.374394146,0.364447977,0.35478939,0.345418384,0.336334959,0.327539116,0.319030854,0.310810174,0.302877076
6,0.634754472,0.61946151,0.60445613,0.589738331,0.575308113,0.561165477,0.547310423,0.53374295,0.520463058,0.507470748,0.49476602,0.482348873,0.470219307,0.458377323,0.44682292,0.435556099,0.42457686,0.413885202,0.403481125,0.39336463,0.383535717,0.373994384,0.364740634,0.355774465,0.347095877,0.338704871,0.330601446,0.322785603,0.315257342,0.308016662,0.301063563
7,0.604604051,0.590291089,0.576265709,0.56252791,0.549077692,0.535915056,0.523040002,0.510452529,0.498152637,0.486140327,0.474415599,0.462978452,0.451828886,0.440966902,0.4303925,0.420105679,0.410106439,0.400394781,0.390970704,0.381834209,0.372985296,0.364423964,0.356150213,0.348164044,0.340465456,0.33305445,0.325931026,0.319095183,0.312546921,0.306286241,0.300313142
8,0.575516722,0.56218376,0.54913838,0.536380581,0.523910363,0.511727727,0.499832673,0.4882252,0.476905308,0.465872998,0.45512827,0.444671123,0.434501557,0.424619573,0.41502517,0.405718349,0.39669911,0.387967452,0.379523375,0.37136688,0.363497967,0.355916634,0.348622884,0.341616715,0.334898127,0.328467121,0.322323696,0.316467853,0.310899592,0.305618912,0.300625813
9,0.547492485,0.535139523,0.523074142,0.511296343,0.499806126,0.48860349,0.477688435,0.467060962,0.456721071,0.446668761,0.436904032,0.427426885,0.41823732,0.409335335,0.400720933,0.392394112,0.384354872,0.376603214,0.369139138,0.361962643,0.355073729,0.348472397,0.342158646,0.336132477,0.33039389,0.324942884,0.319779459,0.314903616,0.310315354,0.306014674,0.302001576
